Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-11-07,151.37,151.51,150.5,151.35,3701052.0,0.0,1.0,131.851082680387,131.97302990622603,131.09326777695875,131.8336616481243,3701052.0
2017-11-06,151.77,151.82,150.28,150.84,4498820.0,0.0,1.0,132.1995033256414,132.24305590629817,130.90163642206883,131.38942532542495,4498820.0
2017-11-03,153.42,153.47,151.49,151.58,4431321.0,0.0,1.0,133.63673848731568,133.6802910679725,131.95560887396334,132.03400351914556,4431321.0
2017-11-02,154.18,154.49,152.91,153.35,3397125.0,0.0,1.0,134.298737713299,134.56876371337114,133.19250216461634,133.57576487439616,3397125.0
2017-11-01,154.1,154.9,153.83,154.03,3240246.0,0.0,1.0,134.2290535842481,134.92589487475686,133.99386964870143,134.1680799713286,3240246.0
2017-10-31,154.33,154.93,152.93,154.06,4328258.0,0.0,1.0,134.4293954552694,134.95202642315095,133.2099231968791,134.19421151972267,4328258.0
2017-10-30,153.76,154.59,152.71,154.36,4210302.0,0.0,1.0,133.93289603578188,134.65586887468473,133.01829184198917,134.45552700366346,4210302.0
2017-10-27,154.54,154.63,152.911,153.68,4895186.0,0.0,1.0,134.61231629402792,134.69071093921016,133.1933732162295,133.86321190673104,4895186.0
2017-10-26,154.31,155.12,153.54,153.6,4299513.0,0.0,1.0,134.41197442300668,135.11752622964678,133.741264680892,133.79352777768014,4299513.0
2017-10-25,156.01,156.37,153.06,153.495,5444800.0,0.0,1.0,135.89276216533776,136.2063407460667,133.32315990658674,133.7020673583009,5444800.0
2017-10-24,159.65,159.7,155.171,155.88,8193352.0,0.0,1.0,139.06339003715257,139.10694261780935,135.1619498619167,135.77952545563008,8193352.0
2017-10-23,162.05,162.51,159.54,159.55,5778878.0,0.0,1.0,141.15391390867885,141.55459765072135,138.9675743597076,138.97628487583899,5778878.0
2017-10-20,161.07,162.48,159.77,162.07,7868803.0,0.0,1.0,140.3002833278056,141.5284661023273,139.1679162307289,141.17133494094153,7868803.0
2017-10-19,159.8,160.96,159.085,160.9,9911920.0,0.0,1.0,139.19404777912297,140.20446765036067,138.57124587573077,140.15220455357252,9911920.0
2017-10-18,157.12,161.23,156.95,159.53,30490192.0,0.0,1.0,136.85962945591865,140.43965158590734,136.71155068168554,138.95886384357627,30490192.0
2017-10-17,146.63,147.12,146.18,146.54,6290535.0,0.0,1.0,127.72229803412266,128.14911332455927,127.3303248082115,127.64390338894042,6290535.0
2017-10-16,147.22,147.67,146.51,146.83,3052091.0,0.0,1.0,128.23621848587285,128.628191711784,127.61777184054634,127.89650835674986,3052091.0
2017-10-13,147.48,147.85,146.94,147.1,2506200.0,0.0,1.0,128.4626919052882,128.7849810021485,127.9923240341948,128.13169229229655,2506200.0
2017-10-12,147.56,147.89,146.77,147.03,3264344.0,0.0,1.0,128.53237603433908,128.81982306667393,127.8442452599617,128.07071867937702,3264344.0
2017-10-11,148.4,148.47,147.28,147.62,3701264.0,0.0,1.0,129.26405938937327,129.3250330022928,128.28848158266103,128.58463913112723,3701264.0
2017-10-10,147.71,148.95,147.65,148.5,4032184.0,0.0,1.0,128.66303377630948,129.74313777659802,128.61077067952132,129.35116455068686,4032184.0
2017-10-09,146.5,147.79,146.35,147.39,2682556.0,0.0,1.0,127.609061324415,128.73271790536035,127.4784035824446,128.38429726010597,2682556.0
2017-10-06,146.64,146.85,146.32,146.48,2623174.0,0.0,1.0,127.731008550254,127.91392938901257,127.45227203405051,127.59164029215226,2623174.0
2017-10-05,146.68,147.54,146.48,146.72,2686539.0,0.0,1.0,127.76585061477947,128.51495500207636,127.59164029215226,127.80069267930489,2686539.0
2017-10-04,147.0,147.02,146.11,146.48,2244033.0,0.0,1.0,128.04458713098296,128.06200816324568,127.26935119529199,127.59164029215226,2244033.0
2017-10-03,146.69,147.1999,146.34,146.78,2302699.0,0.0,1.0,127.77456113091081,128.21871034844884,127.46969306631324,127.85295577609305,2302699.0
2017-10-02,145.35,146.865,145.21,146.66,2973224.0,0.0,1.0,126.60735196930865,127.92699516320961,126.48540474346963,127.74842958251674,2973224.0
2017-09-29,145.45,145.69,144.92,145.08,2654321.0,0.0,1.0,126.69445713062224,126.90350951777488,126.2327997756602,126.37216803376197,2654321.0
2017-09-28,145.33,145.86,144.21,145.66,2774675.0,0.0,1.0,126.58993093704595,127.051588292008,125.6143531303337,126.8773779693808,2774675.0
2017-09-27,146.68,146.9,145.03,145.66,3501861.0,0.0,1.0,127.76585061477947,127.95748196966937,126.32861545310516,126.8773779693808,3501861.0
2017-09-26,146.36,147.42,145.94,146.56,4487620.0,0.0,1.0,127.48711409857597,128.41042880850003,127.12127242105886,127.66132442120315,4487620.0
2017-09-25,145.12,146.03,144.91,145.87,5213144.0,0.0,1.0,126.4070100982874,127.1996670662411,126.22408925952884,127.06029880813935,5213144.0
2017-09-22,145.59,145.59,144.59,145.13,2792200.0,0.0,1.0,126.81640435646129,126.81640435646129,125.94535274332534,126.41572061441875,2792200.0
2017-09-21,145.65,145.8911,145.1,145.26,2554596.0,0.0,1.0,126.86866745324944,127.07867799717651,126.38958906602467,126.52895732412641,2554596.0
